"Story","Title","Result","Date","Stability","Duration (s)"
"Product CRUD test","This will create new product","SUCCESS","2023-01-10T20:56:59.019Z[Europe/London]","0.0","5.34"
"Product CRUD test","Getting the product information with id:","SUCCESS","2023-01-10T20:57:04.402Z[Europe/London]","0.0","0.11"
"Product CRUD test","Updating product information and verify the updated information","SUCCESS","2023-01-10T20:57:04.511Z[Europe/London]","0.0","0.1"
"Product CRUD test","Deleting product with id and verify that user is deleted","SUCCESS","2023-01-10T20:57:04.613Z[Europe/London]","0.0","0.07"
