"Story","Title","Result","Date","Stability","Duration (s)"
"Store CRUD test","This will create new  store","SUCCESS","2023-01-10T20:57:08.290Z[Europe/London]","0.0","0.08"
"Store CRUD test","Getting the store information with Name:","SUCCESS","2023-01-10T20:57:08.368Z[Europe/London]","0.0","0.03"
"Store CRUD test","Updating store information and verify the updated information","SUCCESS","2023-01-10T20:57:08.401Z[Europe/London]","0.0","0.05"
"Store CRUD test","Deleting store with id and verify that user is deleted","SUCCESS","2023-01-10T20:57:08.456Z[Europe/London]","0.0","0.06"
